x,y
248,797
248,797
251,777
251,777
251,777
251,777
251,760
251,760
251,760
251,760
253,742
253,742
253,742
253,741
255,721
254,721
254,721
255,720
257,701
258,702
257,702
257,702
260,684
260,684
260,684
260,684
260,669
260,669
259,669
260,669
264,629
265,630
265,632
264,631
263,618
264,618
264,618
265,618
264,596
264,596
264,596
268,585
268,583
267,583
268,583
268,566
268,566
268,564
268,566
269,547
269,547
269,548
269,548
270,537
270,537
270,537
270,537
270,512
271,514
271,514
271,514
271,500
272,500
271,500
271,500
274,488
274,488
273,489
274,491
272,472
271,470
272,470
271,471
273,452
272,455
272,452
273,453
275,427
275,430
276,430
276,430
275,420
276,423
276,423
276,423
276,401
276,400
276,400
277,402
277,384
275,384
276,383
276,384
278,373
278,371
278,373
278,374
276,358
274,356
276,357
276,357
278,336
278,334
278,333
278,333
280,321
281,321
281,321
281,321
279,312
279,318
280,318
280,318
277,307
279,305
280,307
280,304
281,292
280,289
279,293
279,293
280,280
280,281
281,283
281,283
275,268
275,268
275,268
276,263
281,263
281,262
280,260
280,260
279,248
279,251
279,253
278,248
280,241
276,215
275,213
275,213
275,214
280,201
278,198
279,198
278,197
272,194
273,193
273,197
274,197
273,169
275,171
273,169
275,171
279,141
280,140
278,141
280,140
274,125
274,125
275,127
275,124
269,116
269,116
269,116
271,117
271,94
270,90
271,94
272,94
271,89
271,84
271,84
271,89
