x,y
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
235.0,684.0
237.0,661.0
237.0,661.0
237.0,661.0
237.0,661.0
236.0,617.0
236.0,617.0
236.0,617.0
236.0,617.0
239.0,589.0
239.0,589.0
239.0,589.0
239.0,589.0
240.0,545.0
240.0,545.0
240.0,545.0
240.0,545.0
241.0,515.0
241.0,515.0
241.0,515.0
241.0,515.0
239.0,503.0
239.0,503.0
239.0,503.0
239.0,503.0
Not found,0
Not found,0
Not found,0
Not found,0
242.0,444.0
242.0,444.0
242.0,444.0
242.0,444.0
242.0,421.0
242.0,421.0
242.0,421.0
242.0,421.0
242.0,405.0
242.0,405.0
242.0,405.0
241.0,380.0
241.0,380.0
241.0,380.0
241.0,380.0
243.0,365.0
243.0,365.0
243.0,365.0
243.0,365.0
244.0,346.0
244.0,346.0
244.0,346.0
244.0,346.0
239.0,321.0
239.0,321.0
239.0,321.0
239.0,321.0
243.0,307.0
244.0,308.0
244.0,308.0
244.0,308.0
242.0,293.0
242.0,293.0
242.0,293.0
242.0,293.0
238.0,274.0
238.0,274.0
238.0,274.0
238.0,274.0
240.0,266.0
240.0,265.0
240.0,265.0
240.0,265.0
240.0,257.0
240.0,257.0
240.0,257.0
240.0,257.0
242.0,229.0
242.0,229.0
242.0,229.0
242.0,229.0
242.0,218.0
242.0,218.0
242.0,218.0
242.0,218.0
242.0,213.0
242.0,213.0
242.0,213.0
242.0,213.0
242.0,201.0
242.0,201.0
242.0,201.0
242.0,201.0
242.0,183.0
242.0,183.0
242.0,183.0
242.0,183.0
241.0,180.0
241.0,180.0
241.0,180.0
241.0,180.0
241.0,161.0
241.0,161.0
241.0,161.0
241.0,161.0
240.0,149.0
240.0,149.0
240.0,149.0
240.0,149.0
237.0,147.0
237.0,147.0
237.0,147.0
237.0,147.0
238.0,133.0
238.0,133.0
238.0,133.0
238.0,133.0
238.0,124.0
238.0,124.0
238.0,124.0
238.0,124.0
238.0,116.0
238.0,116.0
238.0,116.0
238.0,116.0
237.0,107.0
237.0,107.0
237.0,107.0
237.0,107.0
232.0,97.0
232.0,97.0
232.0,97.0
232.0,97.0
231.0,97.0
231.0,97.0
231.0,97.0
231.0,97.0
231.0,87.0
231.0,87.0
231.0,87.0
231.0,87.0
233.0,83.0
233.0,83.0
233.0,83.0
233.0,83.0
231.0,73.0
231.0,73.0
231.0,73.0
231.0,73.0
230.0,67.0
230.0,67.0
230.0,67.0
230.0,67.0
235.0,53.0
235.0,53.0
236.0,52.0
236.0,52.0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
244.0,108.0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
221.0,31.0
221.0,31.0
221.0,31.0
221.0,31.0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
245.0,107.0
244.0,107.0
244.0,107.0
244.0,107.0
244.0,107.0
245.0,106.0
245.0,106.0
245.0,106.0
245.0,106.0
214.0,11.0
214.0,11.0
214.0,11.0
214.0,11.0
242.0,94.0
242.0,94.0
242.0,94.0
242.0,94.0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
254.0,106.0
254.0,106.0
254.0,106.0
254.0,106.0
Not found,0
Not found,0
Not found,0
Not found,0
223.0,64.0
223.0,64.0
223.0,64.0
223.0,64.0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
Not found,0
